term,translation,context,status,notes
tattooing,xăm hình,,approved,
anorexia nervosa,chứng chán ăn tâm thần,,approved,
authoritative knowledge,kiến thức có thẩm quyền,,approved,
biomedicine,y sinh học,,approved,
Blue Zones,Vùng Xanh,,approved,
causal attributions,quy kết nguyên nhân,,approved,
clinical observations,quan sát lâm sàng,,approved,
comorbidities,bệnh lý đi kèm,,approved,
critical medical anthropology (CMA),Nhân học y tế phê phán (CMA),,approved,
critical theories of health,các lý thuyết phê bình về sức khỏe,,approved,
cultural concepts of distress (CCD),Khái niệm văn hóa về sự đau khổ (CCD),,approved,
cultural systems model,mô hình hệ thống văn hóa,,approved,
disease,bệnh,,approved,
epigenetics,di truyền học biểu sinh,,approved,
ethnomedicine,y học dân tộc / y học dân gian,,approved,
evolutionary medicine,y học tiến hóa,,approved,
health,sức khỏe,,approved,
health decision-making analysis,phân tích quyết định về sức khỏe,,approved,
idioms of distress,thành ngữ biểu thị sự đau khổ,,approved,
illness,sự ốm yếu,,approved,
illness narrative interviews,phỏng vấn tường thuật về bệnh tật,,approved,
malady,bệnh tật,,approved,
medical ecology,sinh thái y học,,approved,
medical pluralism,đa nguyên y tế,,approved,
medical statistics,thống kê y tế,,approved,
placebo effect,hiệu ứng giả dược,,approved,
political economic medical anthropology (PEMA),"Nhân học y tế, kinh tế, chính trị (PEMA)",,approved,
psychobiological dynamic of health,động lực tâm sinh lý của sức khỏe,,approved,
sick roles,vai trò bệnh hoạn,,approved,
sickness,bệnh tật,,approved,
social health,sức khỏe xã hội,,approved,
susto,sợ hãi,,approved,
symbolic approach,phương pháp tượng trưng,,approved,
symbolic interaction approach to health,cách tiếp cận tương tác biểu tượng đối với sức khỏe,,approved,
syndemics,dịch bệnh đồng thời,,approved,
traditional ecological knowledge (TEK),kiến thức sinh thái truyền thống (TEK),,approved,
voodoo death,cái chết voodoo,,approved,
animal,động vật,,approved,
animal empathy,sự đồng cảm với động vật,,approved,
anthropocentrism,chủ nghĩa nhân loại trung tâm,,approved,
conspecifics,cùng loài,,approved,
culture hero,anh hùng văn hóa,,approved,
domestication,thuần hóa,,approved,
ecotourism,du lịch sinh thái,,approved,
karma,nghiệp chướng,,approved,
multispecies ethnography,dân tộc học đa loài,,approved,
nature,thiên nhiên,,approved,
neotony,sự duy trì đặc tính non trẻ / sự duy trì đặc tính con non,,approved,
nomadic pastoralism,chăn nuôi du mục,,approved,
pastoral societies,xã hội chăn nuôi,,approved,
pets,thú cưng,,approved,
polyspecific,đa loài,,approved,
reincarnation,luân hồi,,approved,
symbiosis,cộng sinh,,approved,
tame,thuần hóa,,approved,
totem,vật tổ,,approved,
totemism,chủ nghĩa vật tổ,,approved,
transhumant pastoralism,chăn thả du mục,,approved,
trickster,kẻ lừa đảo,,approved,
zoonoses,bệnh truyền nhiễm từ động vật sang người,,approved,
American Indian Movement,Phong trào người Mỹ bản địa,,approved,
animistic,thuyết vật linh,,approved,
assimilation,sự đồng hóa,,approved,
basketry,đan lát,,approved,
blood quantum,lượng máu,,approved,
boarding schools,trường nội trú,,approved,
Indian Claims,các yêu cầu đòi quyền lợi của người Mỹ bản địa,,approved,
Indian mascots,linh vật người Mỹ bản địa,,approved,
Indians,người Mỹ bản địa / thổ dân Mỹ,,approved,
Indigenous peoples,Người bản địa,,approved,
Maori,Maori,,approved,
Marshall court trilogy,bộ ba phán quyết của Tòa án Marshall,,approved,
mestizo,người lai,,approved,
Métis,Người Métis,,approved,
Native studies,Nghiên cứu bản địa,,approved,
noble savages,những người man rợ cao quý,,approved,
oral tradition,truyền thống truyền miệng,,approved,
petroglyphs,hình khắc trên đá,,approved,
pictographs,chữ tượng hình,,approved,
public anthropologists,các nhà nhân chủng học công cộng,,approved,
reservations,các khu bảo tồn,,approved,
termination,sự chấm dứt quyền tự trị bộ lạc,,approved,
Trade and Intercourse Acts,Đạo luật thương mại và giao lưu,,approved,
treaties,hiệp ước,,approved,
urban Indian,người Mỹ bản địa thành thị,,approved,
asset,tài sản,,approved,
biodiversity,sự đa dạng sinh học,,approved,
ethnosphere,không gian dân tộc,,approved,
insider’s point of view,quan điểm của người trong cuộc,,approved,
absolute dating methods,phương pháp xác định niên đại tuyệt đối,,approved,
archaeobotanists,nhà khảo cổ học thực vật / các nhà khảo cổ học thực vật,,approved,
ethnocentric,vị chủng,,approved,
etic perspective,quan điểm ngoại cuộc,,approved,
interviews,cuộc phỏng vấn / các cuộc phỏng vấn,,approved,
three-dimensional collections,các bộ sưu tập ba chiều,,approved,
typological sequences,trình tự kiểu loại / các trình tự kiểu loại,,approved,
zooarchaeologists,nhà khảo cổ học động vật / các nhà khảo cổ học động vật,,approved,
ideologies,hệ tư tưởng,,approved,
rites of passage,nghi lễ chuyển tiếp,,approved,
fossil,hóa thạch,,approved,
hominids,Hominids / họ người,,approved,
archaic homo,người Homo cổ xưa / người cổ xưa,,approved,Added from chapter 5 extraction
biface,công cụ ghè hai mặt / rìu hai mặt,,approved,Added from chapter 5 extraction
broca's area,vùng Broca,,approved,Added from chapter 5 extraction
brocaâ€™s area,vùng Broca,,approved,Added from chapter 5 extraction
canine fossa,hố răng nanh,,approved,Added from chapter 5 extraction
coevolution,sự đồng tiến hóa / đồng tiến hóa,,approved,Added from chapter 5 extraction
cranial capacity,dung tích sọ,,approved,Added from chapter 5 extraction
encephalization,sự não hóa / hiện tượng não hóa,,approved,Added from chapter 5 extraction
encephalization quotient (eq),hệ số não hóa (EQ),,approved,Added from chapter 5 extraction
endocranial cast,khuôn đúc nội sọ,,approved,Added from chapter 5 extraction
evolutionary mismatch,sự bất tương thích tiến hóa / sự không tương thích tiến hóa,,approved,Added from chapter 5 extraction
genome,hệ gen / bộ gen,,approved,Added from chapter 5 extraction
ghost populations,quần thể ma,,approved,Added from chapter 5 extraction
hafting,tra cán / gắn tay cầm,,approved,Added from chapter 5 extraction
handedness,sự thuận tay / tính thuận tay,,approved,Added from chapter 5 extraction
intentional burials,chôn cất có chủ ý / nghi thức chôn cất,,approved,Added from chapter 5 extraction
island dwarfism,sự lùn hóa ở đảo / hiện tượng lùn hóa trên đảo,,approved,Added from chapter 5 extraction
lithic reduction,đẽo đá / kỹ thuật ghè đá,,approved,Added from chapter 5 extraction
melanin,hắc tố melanin / melanin,,approved,Added from chapter 5 extraction
mitochondria (mtdna),ti thể (mtDNA),,approved,Added from chapter 5 extraction
mitochondrial eve or mtmrca,Eva ti thể,,approved,Added from chapter 5 extraction
mousterian tool industry,kỹ nghệ công cụ Mousterian,,approved,Added from chapter 5 extraction
occipital bun,búi chẩm / xương chẩm nhô,,approved,Added from chapter 5 extraction
oldowan tool industry,kỹ nghệ công cụ Oldowan,,approved,Added from chapter 5 extraction
out of africa theory,thuyết nguồn gốc châu Phi / thuyết đi ra từ châu Phi,,approved,Added from chapter 5 extraction
postcranial features,đặc điểm dưới sọ / đặc điểm thân dưới,,approved,Added from chapter 5 extraction
thermoregulation,sự điều hòa thân nhiệt / điều nhiệt,,approved,Added from chapter 5 extraction
acheulean industry,kỹ nghệ Acheulean / kỹ nghệ công cụ Acheul,,approved,Added from chapter 5 extraction
atlatl,sào phóng lao atlatl / ống phóng lao atlatl,,approved,Added from chapter 5 extraction
blade tools,công cụ dạng phiến,,approved,Added from chapter 5 extraction
burin,công cụ đục / burin,,approved,Added from chapter 5 extraction
cleaver,rìu chặt / dao phay,,approved,Added from chapter 5 extraction
flake tools,công cụ mảnh tước,,approved,Added from chapter 5 extraction
flint knapping,đẽo đá lửa / chế tác đá lửa,,approved,Added from chapter 5 extraction
hand axe,rìu tay,,approved,Added from chapter 5 extraction
spears,lao / giáo / cây thương,,approved,Added from chapter 5 extraction
the soft hammer technique,kỹ thuật búa mềm,,approved,Added from chapter 5 extraction
the hard hammer percussion,kỹ thuật ghè búa cứng,,approved,Added from chapter 5 extraction
soft hammer technique,kỹ thuật búa mềm,,approved,Added from chapter 5 extraction
hard hammer percussion,kỹ thuật ghè búa cứng,,approved,Added from chapter 5 extraction
venus figurines,tượng Vệ nữ,,approved,Added from chapter 5 extraction
expensive tissue hypothesis,giả thuyết mô đắt đỏ / giả thuyết cơ quan tốn năng lượng,,approved,Added from chapter 5 extraction
incantations,câu thần chú,,approved,
naming ceremonies,nghi lễ đặt tên,,approved,
bands,nhóm nhỏ,,approved,
extensive,quảng canh,,approved,
shifting cultivation,canh tác dịch chuyển,,approved,
critical race theory (crt),Thuyết chủng tộc phê phán (CRT),,approved,
sara minkara,Sara Minkara,,approved,Tên riêng
epidemics,dịch bệnh,,approved,
immigrants,người nhập cư,,approved,
migrants,người di cư,,approved,
refugees,người tị nạn,,approved,
affine,thân tộc thông gia,,approved,Đã hiệu đính bởi AI
bride price,sính lễ cưới,,approved,Đã hiệu đính bởi AI
cross cousins,anh chị em họ chéo,,approved,Đã hiệu đính bởi AI
incest,loạn luân,,approved,Đã hiệu đính bởi AI
matrilineal (or uterine) descent,dòng dõi mẫu hệ,,approved,Đã hiệu đính bởi AI
parallel cousins,anh chị em họ song song,,approved,Đã hiệu đính bởi AI
patrilineal (or agnatic) descent,dòng dõi phụ hệ,,approved,Đã hiệu đính bởi AI
sociocultural constructions,kiến tạo văn hóa - xã hội,,approved,Đã hiệu đính bởi AI
abu-lughod,Abu-Lughod,,approved,"Tên riêng, không dịch"
anas,Anas,,approved,"Tên riêng, không dịch"
asamoah,Asamoah,,approved,"Tên riêng, không dịch"
asch,Asch,,approved,"Tên riêng, không dịch"
bahia,Bahia,,approved,"Tên riêng, không dịch"
bateson,Bateson,,approved,"Tên riêng, không dịch"
boas,Boas,,approved,"Tên riêng, không dịch"
boyd,Boyd,,approved,"Tên riêng, không dịch"
broadcast media,truyền thông quảng bá,,approved,Bổ sung từ Chương 15
buckley,Buckley,,approved,"Tên riêng, không dịch"
collins,Collins,,approved,"Tên riêng, không dịch"
digital media,truyền thông kỹ thuật số,,approved,Bổ sung từ Chương 15
fisher,Fisher,,approved,"Tên riêng, không dịch"
flaherty,Flaherty,,approved,"Tên riêng, không dịch"
ganti,Ganti,,approved,"Tên riêng, không dịch"
gaze theory,thuyết ánh nhìn,,approved,Bổ sung từ Chương 15
gershon,Gershon,,approved,"Tên riêng, không dịch"
ghana,Ghana,,approved,"Tên riêng, không dịch"
gutenberg,Gutenberg,,approved,"Tên riêng, không dịch"
habermas,Habermas,,approved,"Tên riêng, không dịch"
heath,Heath,,approved,"Tên riêng, không dịch"
hornberger,Hornberger,,approved,"Tên riêng, không dịch"
inuit,Inuit,,approved,"Tên riêng, không dịch"
jamano,jamano,,approved,"Tên riêng, không dịch"
jenkins,Jenkins,,approved,"Tên riêng, không dịch"
jikko,jikko,,approved,"Tên riêng, không dịch"
juuntuwaay,juuntuwaay,,approved,"Tên riêng, không dịch"
khiabany,Khiabany,,approved,"Tên riêng, không dịch"
king farouk,King Farouk,,approved,"Tên riêng, không dịch"
lutz,Lutz,,approved,"Tên riêng, không dịch"
mankekar,Mankekar,,approved,"Tên riêng, không dịch"
marshall,Marshall,,approved,"Tên riêng, không dịch"
mcluhan,McLuhan,,approved,"Tên riêng, không dịch"
mead,Mead,,approved,"Tên riêng, không dịch"
media anthropologists,nhà nhân học truyền thông,,approved,Bổ sung từ Chương 15
mulvey,Mulvey,,approved,"Tên riêng, không dịch"
pardue,Pardue,,approved,"Tên riêng, không dịch"
postill,Postill,,approved,"Tên riêng, không dịch"
printing press,máy in báo chí,,approved,Bổ sung từ Chương 15
pype,Pype,,approved,"Tên riêng, không dịch"
ramírez,Ramírez,,approved,"Tên riêng, không dịch"
sheng,Sheng,,approved,"Tên riêng, không dịch"
spray,Spray,,approved,"Tên riêng, không dịch"
sreberny,Sreberny,,approved,"Tên riêng, không dịch"
taussig,Taussig,,approved,"Tên riêng, không dịch"
the medium is the message,phương tiện chính là thông điệp,,approved,Bổ sung từ Chương 15
velez,Velez,,approved,"Tên riêng, không dịch"
benedict,Benedict,,approved,"Tên riêng, không dịch"
blink-182,Blink-182,,approved,"Tên riêng, không dịch"
brown,Brown,,approved,"Tên riêng, không dịch"
bryant,Bryant,,approved,"Tên riêng, không dịch"
campbell,Campbell,,approved,"Tên riêng, không dịch"
carlos,Carlos,,approved,"Tên riêng, không dịch"
castille,Castille,,approved,"Tên riêng, không dịch"
chuck d,Chuck D,,approved,"Tên riêng, không dịch"
clash,Clash,,approved,"Tên riêng, không dịch"
cooke,Cooke,,approved,"Tên riêng, không dịch"
curtis,Curtis,,approved,"Tên riêng, không dịch"
cyrus,Cyrus,,approved,"Tên riêng, không dịch"
da vinci,da Vinci,,approved,"Tên riêng, không dịch"
densmore,Densmore,,approved,"Tên riêng, không dịch"
dylan,Dylan,,approved,"Tên riêng, không dịch"
eminem,Eminem,,approved,"Tên riêng, không dịch"
flavor flav,Flavor Flav,,approved,"Tên riêng, không dịch"
floyd,Floyd,,approved,"Tên riêng, không dịch"
franklin,Franklin,,approved,"Tên riêng, không dịch"
fujiwara,Fujiwara,,approved,"Tên riêng, không dịch"
green day,Green Day,,approved,"Tên riêng, không dịch"
hughes,Hughes,,approved,"Tên riêng, không dịch"
hurston,Hurston,,approved,"Tên riêng, không dịch"
jaiswal,Jaiswal,,approved,"Tên riêng, không dịch"
kaepernick,Kaepernick,,approved,"Tên riêng, không dịch"
klash,Klash,,approved,"Tên riêng, không dịch"
lamar,Lamar,,approved,"Tên riêng, không dịch"
lil nas x,Lil Nas X,,approved,"Tên riêng, không dịch"
morris,Morris,,approved,"Tên riêng, không dịch"
music artifacts,hiện vật âm nhạc,,approved,Thuật ngữ Chương 16
obama,Obama,,approved,"Tên riêng, không dịch"
payton,Payton,,approved,"Tên riêng, không dịch"
plattner,Plattner,,approved,"Tên riêng, không dịch"
ramones,Ramones,,approved,"Tên riêng, không dịch"
robinson,Robinson,,approved,"Tên riêng, không dịch"
simone,Simone,,approved,"Tên riêng, không dịch"
smith,Smith,,approved,"Tên riêng, không dịch"
steely dan,Steely Dan,,approved,"Tên riêng, không dịch"
sterling,Sterling,,approved,"Tên riêng, không dịch"
tubman,Tubman,,approved,"Tên riêng, không dịch"
winehouse,Winehouse,,approved,"Tên riêng, không dịch"
ackerknecht,Ackerknecht,,approved,"Tên riêng, không dịch"
adams,Adams,,approved,"Tên riêng, không dịch"
anderson’s,Anderson’s,,approved,"Tên riêng, không dịch"
baker,Baker,,approved,"Tên riêng, không dịch"
banks,Banks,,approved,"Tên riêng, không dịch"
biehl’s,Biehl’s,,approved,"Tên riêng, không dịch"
bridges,Bridges,,approved,"Tên riêng, không dịch"
cassell,Cassell,,approved,"Tên riêng, không dịch"
clay,Clay,,approved,"Tên riêng, không dịch"
collado-ardon,Collado-Ardon,,approved,"Tên riêng, không dịch"
cultural concepts of distress,các khái niệm văn hóa về nỗi đau khổ,,approved,Thuật ngữ Chương 17
davis,Davis,,approved,"Tên riêng, không dịch"
douglas,Douglas,,approved,"Tên riêng, không dịch"
downey,Downey,,approved,"Tên riêng, không dịch"
evans-pritchard,Evans-Pritchard,,approved,"Tên riêng, không dịch"
fadiman,Fadiman,,approved,"Tên riêng, không dịch"
farmer,Farmer,,approved,"Tên riêng, không dịch"
fauman-fichman,Fauman-Fichman,,approved,"Tên riêng, không dịch"
foster,Foster,,approved,"Tên riêng, không dịch"
garcia,Garcia,,approved,"Tên riêng, không dịch"
hippocrates,Hippocrates,,approved,"Tên riêng, không dịch"
hoffmann,Hoffmann,,approved,"Tên riêng, không dịch"
ivry,Ivry,,approved,"Tên riêng, không dịch"
kim,Kim,,approved,"Tên riêng, không dịch"
kitanaka,Kitanaka,,approved,"Tên riêng, không dịch"
kleinman,Kleinman,,approved,"Tên riêng, không dịch"
lende,Lende,,approved,"Tên riêng, không dịch"
lindenau,Lindenau,,approved,"Tên riêng, không dịch"
mcmullin,McMullin,,approved,"Tên riêng, không dịch"
mullings,Mullings,,approved,"Tên riêng, không dịch"
nading,Nading,,approved,"Tên riêng, không dịch"
o’nell,O’Nell,,approved,"Tên riêng, không dịch"
paul,Paul,,approved,"Tên riêng, không dịch"
ramin,Ramin,,approved,"Tên riêng, không dịch"
reyes-garcia,Reyes-Garcia,,approved,"Tên riêng, không dịch"
rivers,Rivers,,approved,"Tên riêng, không dịch"
rubel,Rubel,,approved,"Tên riêng, không dịch"
sapir,Sapir,,approved,"Tên riêng, không dịch"
sapolsky,Sapolsky,,approved,"Tên riêng, không dịch"
sobo,Sobo,,approved,"Tên riêng, không dịch"
spencer,Spencer,,approved,"Tên riêng, không dịch"
symbolic interaction approach,phương pháp tiếp cận tương tác biểu tượng,,approved,Thuật ngữ Chương 17
traditional ecological knowledge,tri thức sinh thái truyền thống,,approved,Thuật ngữ Chương 17
turner,Turner,,approved,"Tên riêng, không dịch"
wellin,Wellin,,approved,"Tên riêng, không dịch"
aesop,Aesop,,approved,"Tên riêng, không dịch"
anansi,Anansi,,approved,"Tên riêng, không dịch"
andes,Andes,,approved,"Tên riêng, không dịch"
anishinaabe,Anishinaabe,,approved,"Tên riêng, không dịch"
apache,Apache,,approved,"Tên riêng, không dịch"
aristotle,Aristotle,,approved,"Tên riêng, không dịch"
asinskã¢wã´iniwak,Asinskâwôiniwak,,approved,"Tên riêng, không dịch"
assiniboine,Assiniboine,,approved,"Tên riêng, không dịch"
aztec,Aztec,,approved,"Tên riêng, không dịch"
barasana,Barasana,,approved,"Tên riêng, không dịch"
berger,Berger,,approved,"Tên riêng, không dịch"
brightman,Brightman,,approved,"Tên riêng, không dịch"
buddhism,Buddhism,,approved,"Tên riêng, không dịch"
cattle,gia súc / trâu bò,,approved,Thuật ngữ Chương 18
chono,Chono,,approved,"Tên riêng, không dịch"
coprolites,coprolites,,approved,"Tên riêng, không dịch"
coyote,Coyote,,approved,"Tên riêng, không dịch"
darwin,Darwin,,approved,"Tên riêng, không dịch"
dog,chó,,approved,Thuật ngữ Chương 18
dwyer,Dwyer,,approved,"Tên riêng, không dịch"
elephant,voi,,approved,Thuật ngữ Chương 18
ethnoentomology,côn trùng học dân tộc,,approved,Thuật ngữ Chương 18
gã¶ring,Göring,,approved,"Tên riêng, không dịch"
galã¡pagos giant tortoise,Galápagos giant tortoise,,approved,"Tên riêng, không dịch"
galã¡pagos islands,Galápagos Islands,,approved,"Tên riêng, không dịch"
greenwashing,tẩy xanh / greenwashing,,approved,Thuật ngữ Chương 18
grimm brothers,Grimm brothers,,approved,"Tên riêng, không dịch"
guaranã­,Guaraní,,approved,"Tên riêng, không dịch"
guinea pigs,chuột lang,,approved,Thuật ngữ Chương 18
harris,Harris,,approved,"Tên riêng, không dịch"
henry morgan,Henry Morgan,,approved,"Tên riêng, không dịch"
hinduism,Hinduism,,approved,"Tên riêng, không dịch"
hitler,Hitler,,approved,"Tên riêng, không dịch"
istomin,Istomin,,approved,"Tên riêng, không dịch"
izhma komi,Izhma Komi,,approved,"Tên riêng, không dịch"
kainai,Kainai,,approved,"Tên riêng, không dịch"
kalapalo,Kalapalo,,approved,"Tên riêng, không dịch"
kanzi,Kanzi,,approved,"Tên riêng, không dịch"
kayapã³,Kayapó,,approved,"Tên riêng, không dịch"
kennel clubs,kennel clubs,,approved,"Tên riêng, không dịch"
koko,Koko,,approved,"Tên riêng, không dịch"
lã©vi-strauss,Lévi-Strauss,,approved,"Tên riêng, không dịch"
lakota,Lakota,,approved,"Tên riêng, không dịch"
lascaux,Lascaux,,approved,"Tên riêng, không dịch"
librito,librito,,approved,"Tên riêng, không dịch"
linnaeus,Linnaeus,,approved,"Tên riêng, không dịch"
lo demã¡s,Lo Demás,,approved,"Tên riêng, không dịch"
maya,Maya,,approved,"Tên riêng, không dịch"
meyers,Meyers,,approved,"Tên riêng, không dịch"
mohnhaupt,Mohnhaupt,,approved,"Tên riêng, không dịch"
montezuma,Montezuma,,approved,"Tên riêng, không dịch"
nenets,Nenets,,approved,"Tên riêng, không dịch"
netsilik,Netsilik,,approved,"Tên riêng, không dịch"
olmec,Olmec,,approved,"Tên riêng, không dịch"
pachamama,Pachamama,,approved,"Tên riêng, không dịch"
panbanisha,Panbanisha,,approved,"Tên riêng, không dịch"
pawakan,pawakan,,approved,"Tên riêng, không dịch"
pet keeping,nuôi thú cưng,,approved,Thuật ngữ Chương 18
posey,Posey,,approved,"Tên riêng, không dịch"
raven,Raven,,approved,"Tên riêng, không dịch"
reincarnated,tái sinh,,approved,Thuật ngữ Chương 18
rock cree,Rock Cree,,approved,"Tên riêng, không dịch"
savage-rumbaugh,Savage-Rumbaugh,,approved,"Tên riêng, không dịch"
serpell,Serpell,,approved,"Tên riêng, không dịch"
shipman,Shipman,,approved,"Tên riêng, không dịch"
tamed,thuần dưỡng,,approved,Thuật ngữ Chương 18
tito,Tito,,approved,"Tên riêng, không dịch"
totem pole,cột vật tổ,,approved,Thuật ngữ Chương 18
transhumant pastoralists,dân chăn nuôi di trú theo mùa / dân chăn nuôi bán du mục,,approved,Thuật ngữ Chương 18
tricksters,kẻ tinh nghịch / nhân vật tinh nghịch,,approved,Thuật ngữ Chương 18
tuan,Tuan,,approved,"Tên riêng, không dịch"
upper paleolithic,Upper Paleolithic,,approved,"Tên riêng, không dịch"
waraãµ,Waraõ,,approved,"Tên riêng, không dịch"
weston jr.,Weston Jr.,,approved,"Tên riêng, không dịch"
willerslev,Willerslev,,approved,"Tên riêng, không dịch"
xoloitzcuintli,Xoloitzcuintli,,approved,"Tên riêng, không dịch"
yukaghir,Yukaghir,,approved,"Tên riêng, không dịch"
zapotec,Zapotec,,approved,"Tên riêng, không dịch"
zoo,vườn bách thú / sở thú,,approved,Thuật ngữ Chương 18
applied anthropology,nhân học ứng dụng,,approved,Thuật ngữ Chương 19
camas bulbs,camas bulbs,,approved,"Tên riêng, không dịch"
cascadia cave,Cascadia Cave,,approved,"Tên riêng, không dịch"
cherokee,Cherokee,,approved,"Tên riêng, không dịch"
cherokee trail of tears,Cherokee Trail of Tears,,approved,"Tên riêng, không dịch"
chief illiniwek,Chief Illiniwek,,approved,"Tên riêng, không dịch"
choctaw,Choctaw,,approved,"Tên riêng, không dịch"
clackamas chinook,Clackamas Chinook,,approved,"Tên riêng, không dịch"
coast chumash tribe,Coast Chumash tribe,,approved,"Tên riêng, không dịch"
coquille indian tribe,Coquille Indian Tribe,,approved,"Tên riêng, không dịch"
crater lake,Crater Lake,,approved,"Tên riêng, không dịch"
creek,Creek,,approved,"Tên riêng, không dịch"
cultural experts,cultural experts,,approved,"Tên riêng, không dịch"
decolonize anthropology,phi thực dân hóa nhân học,,approved,Thuật ngữ Chương 19
deloria jr.,Deloria Jr.,,approved,"Tên riêng, không dịch"
domestic dependent nations,các quốc gia phụ thuộc nội địa,,approved,Thuật ngữ Chương 19
drucker,Drucker,,approved,"Tên riêng, không dịch"
elders,Elders,,approved,"Tên riêng, không dịch"
erlandson,Erlandson,,approved,"Tên riêng, không dịch"
farque,Farque,,approved,"Tên riêng, không dịch"
federal indian reservations,các khu bảo tồn người Mỹ bản địa liên bang,,approved,Thuật ngữ Chương 19
fishing and hunting rights,quyền đánh cá và săn bắn,,approved,Thuật ngữ Chương 19
fishing wars,các cuộc tranh đấu giành quyền đánh cá (Fishing Wars),,approved,Thuật ngữ Chương 19
gis (geographic information system),GIS (geographic information system),,approved,"Tên riêng, không dịch"
grand ronde tribe,Grand Ronde tribe,,approved,"Tên riêng, không dịch"
hybrid societies,các xã hội lai,,approved,Thuật ngữ Chương 19
hymes,Hymes,,approved,"Tên riêng, không dịch"
indian claims commission,Indian Claims Commission,,approved,"Tên riêng, không dịch"
indian gaming regulatory act,Indian Gaming Regulatory Act,,approved,"Tên riêng, không dịch"
indigenous languages,các ngôn ngữ bản địa,,approved,Thuật ngữ Chương 19
indigenous perspectives,các quan điểm bản địa,,approved,Thuật ngữ Chương 19
indigenous philosophy,triết lý bản địa,,approved,Thuật ngữ Chương 19
kalapuya,Kalapuya,,approved,"Tên riêng, không dịch"
klamath river,Klamath River,,approved,"Tên riêng, không dịch"
klamath tribe,Klamath tribe,,approved,"Tên riêng, không dịch"
lange,Lange,,approved,"Tên riêng, không dịch"
language immersion program,language immersion program,,approved,"Tên riêng, không dịch"
language recovery,sự phục hồi ngôn ngữ,,approved,Thuật ngữ Chương 19
levi-strauss,Levi-Strauss,,approved,"Tên riêng, không dịch"
material cultures,các nền văn hóa vật chất,,approved,Thuật ngữ Chương 19
medicine,Medicine,,approved,"Tên riêng, không dịch"
memmi,Memmi,,approved,"Tên riêng, không dịch"
mission indians,Mission Indians,,approved,"Tên riêng, không dịch"
morgan,Morgan,,approved,"Tên riêng, không dịch"
native american,Native American,,approved,"Tên riêng, không dịch"
native american graves and repatriation act,Native American Graves and Repatriation Act,,approved,"Tên riêng, không dịch"
native philosophy,triết lý bản địa,,approved,Thuật ngữ Chương 19
native studies programs,Native studies programs,,approved,"Tên riêng, không dịch"
navajo nation,Navajo Nation,,approved,"Tên riêng, không dịch"
nee-dash,Nee-dash,,approved,"Tên riêng, không dịch"
okie migration,Okie migration,,approved,"Tên riêng, không dịch"
oregon “trails of tears,Oregon “Trails of Tears,,approved,"Tên riêng, không dịch"
osage nation,Osage Nation,,approved,"Tên riêng, không dịch"
othering,sự khác biệt hóa,,approved,Thuật ngữ Chương 19
parezo,Parezo,,approved,"Tên riêng, không dịch"
powwows,powwows,,approved,"Tên riêng, không dịch"
shamanic powers,shamanic powers,,approved,"Tên riêng, không dịch"
sioux,Sioux,,approved,"Tên riêng, không dịch"
southwest oregon research project,Southwest Oregon Research Project,,approved,"Tên riêng, không dịch"
systemic racism,chủ nghĩa phân biệt chủng tộc mang tính hệ thống,,approved,Thuật ngữ Chương 19
teters,Teters,,approved,"Tên riêng, không dịch"
tolowa nation,Tolowa Nation,,approved,"Tên riêng, không dịch"
tribal liquidation/termination,sự giải thể/chấm dứt bộ lạc,,approved,Thuật ngữ Chương 19
washington redskins’,Washington Redskins’,,approved,"Tên riêng, không dịch"
wasson,Wasson,,approved,"Tên riêng, không dịch"
weaving arts,nghệ thuật dệt,,approved,Thuật ngữ Chương 19
wounded knee,Wounded Knee,,approved,"Tên riêng, không dịch"
assets,tài sản / tài nguyên,,approved,Thuật ngữ Chương 20
bell,Bell,,approved,"Tên riêng, không dịch"
bill and melinda gates foundation,Bill and Melinda Gates Foundation,,approved,"Tên riêng, không dịch"
council for the preservation of anthropological records,Council for the Preservation of Anthropological Records,,approved,"Tên riêng, không dịch"
diversity,sự đa dạng,,approved,Thuật ngữ Chương 20
geertz,Geertz,,approved,"Tên riêng, không dịch"
godelier,Godelier,,approved,"Tên riêng, không dịch"
ingold,Ingold,,approved,"Tên riêng, không dịch"
kayan,Kayan,,approved,"Tên riêng, không dịch"
matrix model,mô hình ma trận,,approved,Thuật ngữ Chương 20
megafauna,động vật cỡ lớn (megafauna),,approved,Thuật ngữ Chương 20
net-positive houses,nhà dương năng,,approved,Thuật ngữ Chương 20
nichter,Nichter,,approved,"Tên riêng, không dịch"
species reintroduction,sự tái du nhập loài,,approved,Thuật ngữ Chương 20
terrace farming,canh tác ruộng bậc thang,,approved,Thuật ngữ Chương 20
tett,Tett,,approved,"Tên riêng, không dịch"
united nations,Liên Hợp Quốc,,approved,Thuật ngữ Chương 20
universal declaration of human rights,Tuyên ngôn Quốc tế Nhân quyền,,approved,Thuật ngữ Chương 20
wilson,Wilson,,approved,"Tên riêng, không dịch"
